        Valores de x            Valores del Polinomio   Valores de la Derivada
-1.200000000000031264e+00   8.512000000000064404e+00   -2.079999999999837534e+00
-1.100000000000031619e+00   8.279000000000081627e+00   -2.569999999999854623e+00
-1.000000000000031974e+00   8.000000000000095923e+00   -2.999999999999872102e+00
-9.000000000000323297e-01   7.681000000000109296e+00   -3.369999999999889972e+00
-8.000000000000326850e-01   7.328000000000120195e+00   -3.679999999999908233e+00
-7.000000000000330402e-01   6.947000000000129738e+00   -3.929999999999927329e+00
-6.000000000000333955e-01   6.544000000000137263e+00   -4.119999999999946816e+00
-5.000000000000337508e-01   6.125000000000143885e+00   -4.249999999999966249e+00
-4.000000000000341061e-01   5.696000000000147168e+00   -4.319999999999986073e+00
-3.000000000000344613e-01   5.263000000000149114e+00   -4.330000000000007176e+00
-2.000000000000348166e-01   4.832000000000149065e+00   -4.280000000000027782e+00
-1.000000000000351719e-01   4.409000000000146358e+00   -4.170000000000049667e+00
-3.552713678800500929e-14   4.000000000000142109e+00   -4.000000000000071054e+00
9.999999999996411759e-02   3.611000000000135213e+00   -3.770000000000093276e+00
1.999999999999637623e-01   3.248000000000126342e+00   -3.480000000000115890e+00
2.999999999999634070e-01   2.917000000000114390e+00   -3.130000000000138893e+00
3.999999999999630518e-01   2.624000000000100474e+00   -2.720000000000162288e+00
4.999999999999626965e-01   2.375000000000083933e+00   -2.250000000000186517e+00
5.999999999999623412e-01   2.176000000000064993e+00   -1.720000000000210694e+00
6.999999999999619860e-01   2.033000000000042995e+00   -1.130000000000235705e+00
7.999999999999616307e-01   1.952000000000018165e+00   -4.800000000002611067e-01
8.999999999999612754e-01   1.938999999999991175e+00   2.299999999997135447e-01
9.999999999999609201e-01   1.999999999999960920e+00   9.999999999996873612e-01
1.099999999999960565e+00   2.140999999999928072e+00   1.829999999999660787e+00
1.199999999999960210e+00   2.367999999999891969e+00   2.719999999999633822e+00
1.299999999999959854e+00   2.686999999999852839e+00   3.669999999999606466e+00
1.399999999999959499e+00   3.103999999999810466e+00   4.679999999999578719e+00
1.499999999999959144e+00   3.624999999999765077e+00   5.749999999999550582e+00
1.599999999999958789e+00   4.255999999999716898e+00   6.879999999999521165e+00
1.699999999999958433e+00   5.002999999999664382e+00   8.069999999999492246e+00
1.799999999999958078e+00   5.871999999999609088e+00   9.319999999999463824e+00
1.899999999999957723e+00   6.868999999999550354e+00   1.062999999999943412e+01
1.999999999999957367e+00   7.999999999999488409e+00   1.199999999999940314e+01
2.099999999999957012e+00   9.270999999999423480e+00   1.342999999999937089e+01
2.199999999999956657e+00   1.068799999999935224e+01   1.491999999999934090e+01
2.299999999999956302e+00   1.225699999999928025e+01   1.646999999999930964e+01
2.399999999999955946e+00   1.398399999999920240e+01   1.807999999999927709e+01
2.499999999999955591e+00   1.587499999999912248e+01   1.974999999999924682e+01
2.599999999999955236e+00   1.793599999999904071e+01   2.147999999999921172e+01
2.699999999999954881e+00   2.017299999999895022e+01   2.326999999999917890e+01
2.799999999999954525e+00   2.259199999999885833e+01   2.511999999999914479e+01
2.899999999999954170e+00   2.519899999999875817e+01   2.702999999999910941e+01
2.999999999999953815e+00   2.799999999999866063e+01   2.899999999999907629e+01
3.099999999999953459e+00   3.100099999999855527e+01   3.102999999999904190e+01
3.199999999999953104e+00   3.420799999999844943e+01   3.311999999999900268e+01
3.299999999999952749e+00   3.762699999999833267e+01   3.526999999999897284e+01
3.399999999999952394e+00   4.126399999999821233e+01   3.747999999999893106e+01
3.499999999999952038e+00   4.512499999999809575e+01   3.974999999999889866e+01
3.599999999999951683e+00   4.921599999999796893e+01   4.207999999999886143e+01
3.699999999999951328e+00   5.354299999999783921e+01   4.446999999999881936e+01
3.799999999999950973e+00   5.811199999999769972e+01   4.691999999999878668e+01
3.899999999999950617e+00   6.292899999999755778e+01   4.942999999999874916e+01
3.999999999999950262e+00   6.799999999999741362e+01   5.199999999999870681e+01
4.099999999999949907e+00   7.333099999999726037e+01   5.462999999999866674e+01
4.199999999999949551e+00   7.892799999999711247e+01   5.731999999999862894e+01
4.299999999999949196e+00   8.479699999999695592e+01   6.006999999999858630e+01
4.399999999999948841e+00   9.094399999999677675e+01   6.287999999999854595e+01
4.499999999999948486e+00   9.737499999999661782e+01   6.574999999999850786e+01
4.599999999999948130e+00   1.040959999999964367e+02   6.867999999999845784e+01
4.699999999999947775e+00   1.111129999999962479e+02   7.166999999999842430e+01
4.799999999999947420e+00   1.184319999999960658e+02   7.471999999999837883e+01
4.899999999999947065e+00   1.260589999999958764e+02   7.782999999999833562e+01
4.999999999999946709e+00   1.339999999999956799e+02   8.099999999999829470e+01
5.099999999999946354e+00   1.422609999999954766e+02   8.422999999999825604e+01
5.199999999999945999e+00   1.508479999999952668e+02   8.751999999999820545e+01
5.299999999999945643e+00   1.597669999999950505e+02   9.086999999999815714e+01
5.399999999999945288e+00   1.690239999999948566e+02   9.427999999999811109e+01
5.499999999999944933e+00   1.786249999999946283e+02   9.774999999999808153e+01
5.599999999999944578e+00   1.885759999999943943e+02   1.012799999999980258e+02
5.699999999999944222e+00   1.988829999999941549e+02   1.048699999999979724e+02
5.799999999999943867e+00   2.095519999999939103e+02   1.085199999999979354e+02
5.899999999999943512e+00   2.205889999999936606e+02   1.122299999999979008e+02
5.999999999999943157e+00   2.319999999999934062e+02   1.159999999999978400e+02
6.099999999999944578e+00   2.437909999999933746e+02   1.198299999999978667e+02
6.199999999999942446e+00   2.559679999999928555e+02   1.237199999999977393e+02
6.299999999999940314e+00   2.685369999999923607e+02   1.276699999999976285e+02
6.399999999999941735e+00   2.815039999999923452e+02   1.316799999999976478e+02
6.499999999999943157e+00   2.948749999999922693e+02   1.357499999999976694e+02
6.599999999999941025e+00   3.086559999999917636e+02   1.398799999999975512e+02
6.699999999999938893e+00   3.228529999999911979e+02   1.440699999999974352e+02
6.799999999999940314e+00   3.374719999999911124e+02   1.483199999999974352e+02
6.899999999999941735e+00   3.525189999999911379e+02   1.526299999999974659e+02
6.999999999999939604e+00   3.679999999999905640e+02   1.569999999999973568e+02
7.099999999999937472e+00   3.839209999999899310e+02   1.614299999999972215e+02
7.199999999999938893e+00   4.002879999999898928e+02   1.659199999999972306e+02
7.299999999999940314e+00   4.171069999999897959e+02   1.704699999999972704e+02
7.399999999999938183e+00   4.343839999999891575e+02   1.750799999999971419e+02
7.499999999999936051e+00   4.521249999999885176e+02   1.797499999999969873e+02
7.599999999999937472e+00   4.703359999999884735e+02   1.844799999999970339e+02
7.699999999999938893e+00   4.890229999999884285e+02   1.892699999999970544e+02
7.799999999999936762e+00   5.081919999999877291e+02   1.941199999999969066e+02
7.899999999999934630e+00   5.278489999999870861e+02   1.990299999999967611e+02
7.999999999999936051e+00   5.479999999999870397e+02   2.039999999999968168e+02
8.099999999999937472e+00   5.686509999999869933e+02   2.090299999999968463e+02
8.199999999999935341e+00   5.898079999999861229e+02   2.141199999999966792e+02
8.299999999999933209e+00   6.114769999999853098e+02   2.192699999999965428e+02
8.399999999999934630e+00   6.336639999999853217e+02   2.244799999999965792e+02
8.499999999999936051e+00   6.563749999999853344e+02   2.297499999999966178e+02
8.599999999999933920e+00   6.796159999999844104e+02   2.350799999999964598e+02
8.699999999999931788e+00   7.033929999999836582e+02   2.404699999999963040e+02
8.799999999999933209e+00   7.277119999999836182e+02   2.459199999999963495e+02
8.899999999999934630e+00   7.525789999999835800e+02   2.514299999999963688e+02
8.999999999999932498e+00   7.779999999999827196e+02   2.569999999999962483e+02
9.099999999999930367e+00   8.039809999999816910e+02   2.626299999999960733e+02
9.199999999999931788e+00   8.305279999999817164e+02   2.683199999999960710e+02
9.299999999999933209e+00   8.576469999999816309e+02   2.740699999999961278e+02
9.399999999999931077e+00   8.853439999999807242e+02   2.798799999999959596e+02
9.499999999999928946e+00   9.136249999999796501e+02   2.857499999999957936e+02
9.599999999999930367e+00   9.424959999999797446e+02   2.916799999999958573e+02
9.699999999999931788e+00   9.719629999999797292e+02   2.976699999999958663e+02
9.799999999999929656e+00   1.002031999999978666e+03   3.037199999999957072e+02
9.899999999999927525e+00   1.032708999999977550e+03   3.098299999999955503e+02
